#Partida,,,,Ppto. Inicial,Ppto. Definitivo,Retenciones,Autorizado,Disponible,Dispuesto,Obligación,ME,Pago
1 0100.120.01.130.00 2019,,3.0,RETRIBUCIONES BASICAS,140281.65,140281.65,0.0,94359.28,45922.37,94359.28,94359.28,94359.28,94359.28
1 0100.120.01.132.00 2019,,13.0,RETRIBUCIONES BASICAS,296601.83,296601.83,0.0,118061.82,178540.01,118061.82,118061.82,118061.82,118061.82
1 0100.120.01.133.10 2019,,19.0,RETRIBUCIONES BASICAS,222718.07,222718.07,0.0,58143.07,164575.0,58143.07,58143.07,58143.07,58143.07
1 0100.121.99.130.00 2019,,4.0,COMPLEMENTOS VARIOS,286249.68,286249.68,0.0,231911.65,54338.03,231911.65,231911.65,231911.65,231911.65
1 0100.121.99.132.00 2019,,14.0,COMPLEMENTOS VARIOS,567828.45,567828.45,0.0,282018.44,285810.01,282018.44,282018.44,282018.44,282018.44
1 0100.121.99.133.10 2019,,20.0,COMPLEMENTOS VARIOS,404504.82,404504.82,0.0,133288.89,271215.93,133288.89,133288.89,133288.89,133288.89
1 0100.160.01.130.00 2019,,5.0,SEGURIDAD SOCIAL,105256.88,105256.88,0.0,110871.6,-5614.72,110871.6,110871.6,110871.6,110871.6
1 0100.160.01.132.00 2019,,15.0,SEGURIDAD SOCIAL,257951.98,257951.98,0.0,141660.51,116291.47,141660.51,141660.51,141660.51,141660.51
1 0100.160.01.133.10 2019,,21.0,SEGURIDAD SOCIAL,203244.02,203244.02,0.0,68467.41,134776.61,68467.41,68467.41,68467.41,68467.41
1 0100.160.04.130.00 2019,,6.0,CUOTAS ELKARKIDETZA,11621.4,11621.4,0.0,5181.38,6440.02,5181.38,5181.38,5181.38,5181.38
1 0100.160.04.132.00 2019,,16.0,CUOTAS ELKARKIDETZA,17016.18,17016.18,0.0,7347.56,9668.62,7347.56,7347.56,7347.56,7347.56
1 0100.160.04.133.10 2019,,22.0,CUOTAS ELKARKIDETZA,15970.26,15970.26,0.0,4448.84,11521.42,4448.84,4448.84,4448.84,4448.84
1 0100.212.01.132.00 2019,,17.0,MAQUIN/INSTAL/UTILL.MANTTO.ALARMAS,5000.0,5000.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0
1 0100.213.01.130.00 2019,,7.0,MATERIAL DE TRANSPORTE,13000.0,13000.0,0.0,11416.95,1583.05,11416.95,9871.8,9461.73,9461.73
1 0100.213.01.130.00 2018,,1302.0,MATERIAL DE TRANSPORTE,0.0,1462.59,0.0,1462.59,0.0,1462.59,886.87,886.87,886.87
1 0100.221.04.130.00 2019,,8.0,COMBUSTIBLES Y CARBURANTES,10395.0,10395.0,0.0,9075.04,1319.96,9075.04,3243.88,3243.88,2579.06
1 0100.221.05.130.00 2019,,9.0,VESTUARIO,30000.0,30000.0,0.0,11437.32,18562.68,11437.32,9215.28,9215.28,1724.66
1 0100.221.05.130.00 2018,,1303.0,VESTUARIO,0.0,21650.0,0.0,21650.0,0.0,21650.0,21648.23,21648.23,21648.23
1 0100.221.99.130.00 2019,,10.0,OTROS SUMINISTROS,8760.0,8760.0,0.0,2476.99,6283.01,2476.99,2093.42,2093.42,895.21
1 0100.221.99.130.00 2018,,1304.0,OTROS SUMINISTROS,0.0,1194.7,0.0,1194.7,0.0,1194.7,886.2,886.2,886.2
1 0100.224.02.130.00 2019,,11.0,DE VEHICULOS. SEGUROS,3000.0,3000.0,0.0,4024.1,-1024.1,4024.1,1524.1,1524.1,1524.1
1 0100.226.99.132.00 2019,,586.0,OTROS GASTOS DIVERSOS SEGURIDAD,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0
1 0100.227.08.441.10 2019,,363.0,CONTRATOS TRANSPORTE,200000.0,200000.0,0.0,199650.0,350.0,199650.0,93155.74,93155.74,91661.32
