#Partida,,,,Ppto. Inicial,Ppto. Definitivo,Retenciones,Autorizado,Disponible,Dispuesto,Obligación,ME,Pago
1 0100.120.01.130.00 2019,,3.0,RETRIBUCIONES BASICAS,140281.65,140281.65,0.0,144312.96,-4031.31,144312.96,144312.96,144312.96,144312.96
1 0100.120.01.132.00 2019,,13.0,RETRIBUCIONES BASICAS,296601.83,296601.83,0.0,168709.37,127892.46,168709.37,168709.37,168709.37,168709.37
1 0100.120.01.133.10 2019,,19.0,RETRIBUCIONES BASICAS,222718.07,222718.07,0.0,82678.51,140039.56,82678.51,82678.51,82678.51,82678.51
1 0100.121.99.130.00 2019,,4.0,COMPLEMENTOS VARIOS,286249.68,286249.68,0.0,358761.99,-72512.31,358761.99,358761.99,358761.99,358761.99
1 0100.121.99.132.00 2019,,14.0,COMPLEMENTOS VARIOS,567828.45,567828.45,0.0,405011.42,162817.03,405011.42,405011.42,405011.42,405011.42
1 0100.121.99.133.10 2019,,20.0,COMPLEMENTOS VARIOS,404504.82,404504.82,0.0,189794.17,214710.65,189794.17,189794.17,189794.17,189794.17
1 0100.160.01.130.00 2019,,5.0,SEGURIDAD SOCIAL,105256.88,105256.88,0.0,168598.17,-63341.29,168598.17,168598.17,168598.17,168598.17
1 0100.160.01.132.00 2019,,15.0,SEGURIDAD SOCIAL,257951.98,257951.98,0.0,208383.03,49568.95,208383.03,208383.03,208383.03,208383.03
1 0100.160.01.133.10 2019,,21.0,SEGURIDAD SOCIAL,203244.02,203244.02,0.0,100211.34,103032.68,100211.34,100211.34,100211.34,100211.34
1 0100.160.04.130.00 2019,,6.0,CUOTAS ELKARKIDETZA,11621.4,11621.4,0.0,7456.4,4165.0,7456.4,7456.4,7456.4,7456.4
1 0100.160.04.132.00 2019,,16.0,CUOTAS ELKARKIDETZA,17016.18,17016.18,0.0,10368.32,6647.86,10368.32,10368.32,10368.32,10368.32
