#Partida,,,,Ppto. Inicial,Ppto. Definitivo,Retenciones,Autorizado,Disponible,Dispuesto,Obligación,ME,Pago
1 0100.120.01.130.00 2018,,3.0,RETRIBUCIONES BASICAS,135220.69,135220.69,0.0,144443.71,-9223.02,144443.71,144443.71,144443.71,144443.71
1 0100.120.01.132.00 2018,,13.0,RETRIBUCIONES BASICAS,280034.72,280034.72,0.0,271315.02,8719.7,271315.02,271315.02,271315.02,271315.02
1 0100.120.01.133.10 2018,,19.0,RETRIBUCIONES BASICAS,200782.38,200782.38,0.0,151706.27,49076.11,151706.27,151706.27,151706.27,151706.27
1 0100.121.99.130.00 2018,,4.0,COMPLEMENTOS VARIOS,262394.12,262394.12,0.0,339217.94,-76823.82,339217.94,339217.94,339217.94,339217.94
1 0100.121.99.132.00 2018,,14.0,COMPLEMENTOS VARIOS,553000.47,553000.47,0.0,620973.54,-67973.07,620973.54,620973.54,620973.54,620973.54
1 0100.121.99.133.10 2018,,20.0,COMPLEMENTOS VARIOS,372648.89,372648.89,0.0,329028.57,43620.32,329028.57,329028.57,329028.57,329028.57
1 0100.160.01.130.00 2018,,5.0,SEGURIDAD SOCIAL,104060.83,104060.83,0.0,131486.09,-27425.26,131486.09,131486.09,131486.09,131486.09
1 0100.160.01.132.00 2018,,15.0,SEGURIDAD SOCIAL,241352.81,241352.81,0.0,257594.85,-16242.04,257594.85,257594.85,257594.85,257594.85
1 0100.160.01.133.10 2018,,21.0,SEGURIDAD SOCIAL,174533.93,174533.93,0.0,134894.72,39639.21,134894.72,134894.72,134894.72,134894.72
1 0100.160.04.130.00 2018,,6.0,CUOTAS ELKARKIDETZA,11621.4,11621.4,0.0,8633.04,2988.36,8633.04,8633.04,8633.04,8633.04
1 0100.160.04.132.00 2018,,16.0,CUOTAS ELKARKIDETZA,17373.99,17373.99,0.0,17225.95,148.04,17225.95,17225.95,17225.95,17225.95
1 0100.160.04.133.10 2018,,22.0,CUOTAS ELKARKIDETZA,15747.0,15747.0,0.0,11412.5,4334.5,11412.5,11412.5,11412.5,11412.5
1 0100.212.01.132.00 2018,,17.0,MAQUIN/INSTAL/UTILL.MANTTO.ALARMAS,5000.0,5000.0,0.0,2857.22,2142.78,2857.22,2857.22,2857.22,2857.22
1 0100.212.01.132.00 2017,,1053.0,MAQUIN/INSTAL/UTILL.MANTTO.ALARMAS,0.0,136.29,0.0,0.0,136.29,0.0,0.0,0.0,0.0
1 0100.213.01.130.00 2018,,7.0,MATERIAL DE TRANSPORTE,13000.0,13000.0,0.0,10050.91,2949.09,10050.91,8588.32,8588.32,8588.32
1 0100.213.01.130.00 2017,,1054.0,MATERIAL DE TRANSPORTE,0.0,4969.24,0.0,4522.36,446.88,4522.36,4522.36,4522.36,4522.36
1 0100.221.04.130.00 2018,,8.0,COMBUSTIBLES Y CARBURANTES,10395.0,10395.0,0.0,7272.82,3122.18,7272.82,7272.82,7272.82,7272.82
1 0100.221.05.130.00 2018,,9.0,VESTUARIO,30000.0,30000.0,0.0,32123.36,-2123.36,10473.36,10473.36,10473.36,10473.36
1 0100.221.99.130.00 2018,,10.0,OTROS SUMINISTROS,8760.0,8760.0,0.0,8068.21,691.79,8068.21,6873.51,6873.51,6873.51
1 0100.221.99.130.00 2017,,1055.0,OTROS SUMINISTROS,0.0,1301.91,0.0,429.55,872.36,429.55,429.55,429.55,429.55
1 0100.224.02.130.00 2018,,11.0,DE VEHICULOS. SEGUROS,2500.0,2500.0,0.0,1525.0,975.0,1525.0,1525.0,1525.0,1525.0
1 0100.226.99.132.00 2018,,586.0,OTROS GASTOS DIVERSOS SEGURIDAD,1000.0,1000.0,0.0,9.84,990.16,9.84,9.84,9.84,9.84
