#Partida,,,,Ppto. Inicial,Ppto. Definitivo,Retenciones,Autorizado,Disponible,Dispuesto,Obligación,ME,Pago
1 0100.120.01.130.00 2022,,3.0,RETRIBUCIONES BASICAS,152962.58,152962.58,0.0,150458.52,2504.06,150458.52,150458.52,150458.52,150458.52
1 0100.120.01.132.00 2022,,13.0,RETRIBUCIONES BASICAS,318780.17,318780.17,0.0,180223.43,138556.74,180223.43,180223.43,180223.43,180223.43
1 0100.120.01.133.10 2022,,19.0,RETRIBUCIONES BASICAS,237501.32,237501.32,0.0,87830.5,149670.82,87830.5,87830.5,87830.5,87830.5
1 0100.121.99.130.00 2022,,4.0,COMPLEMENTOS VARIOS,297559.4,297559.4,0.0,405274.07,-107714.67,405274.07,405274.07,405274.07,405274.07
1 0100.121.99.132.00 2022,,14.0,COMPLEMENTOS VARIOS,679279.74,679279.74,0.0,467659.6,211620.14,467659.6,467659.6,467659.6,467659.6
1 0100.121.99.133.10 2022,,20.0,COMPLEMENTOS VARIOS,484107.97,484107.97,0.0,214681.51,269426.46,214681.51,214681.51,214681.51,214681.51
1 0100.160.01.130.00 2022,,5.0,SEGURIDAD SOCIAL,150270.71,150270.71,0.0,192838.66,-42567.95,192838.66,192838.66,192838.66,192838.66
1 0100.160.01.132.00 2022,,15.0,SEGURIDAD SOCIAL,355817.13,355817.13,0.0,202123.19,153693.94,202123.19,202123.19,202123.19,202123.19
1 0100.160.01.133.10 2022,,21.0,SEGURIDAD SOCIAL,260622.19,260622.19,0.0,98608.29,162013.9,98608.29,98608.29,98608.29,98608.29
1 0100.160.04.130.00 2022,,6.0,CUOTAS ELKARKIDETZA,11512.82,11512.82,0.0,8397.58,3115.24,8397.58,8397.58,8397.58,8397.58
1 0100.160.04.132.00 2022,,16.0,CUOTAS ELKARKIDETZA,12613.12,12613.12,0.0,7537.48,5075.64,7537.48,7537.48,7537.48,7537.48
1 0100.160.04.133.10 2022,,22.0,CUOTAS ELKARKIDETZA,9035.36,9035.36,0.0,5545.16,3490.2,5545.16,5545.16,5545.16,5545.16
1 0100.202.01.133.10 2022,,2069.0,ALQUILER EQUIPOS DE RADAR,60000.0,60000.0,0.0,0.0,60000.0,0.0,0.0,0.0,0.0
