#Partida,,,,Ppto. Inicial,Ppto. Definitivo,Retenciones,Autorizado,Disponible,Dispuesto,Obligación,ME,Pago
1 0100.120.01.130.00 2022,,3.0,RETRIBUCIONES BASICAS,152962.58,152962.58,0.0,211338.79,-58376.21,211338.79,211338.79,211338.79,211338.79
1 0100.120.01.132.00 2022,,13.0,RETRIBUCIONES BASICAS,318780.17,318780.17,0.0,249263.34,69516.83,249263.34,249263.34,249263.34,249263.34
1 0100.120.01.133.10 2022,,19.0,RETRIBUCIONES BASICAS,237501.32,237501.32,0.0,120852.65,116648.67,120852.65,120852.65,120852.65,120852.65
1 0100.121.99.130.00 2022,,4.0,COMPLEMENTOS VARIOS,297559.4,297559.4,0.0,544839.97,-247280.57,544839.97,544839.97,544839.97,544839.97
1 0100.121.99.132.00 2022,,14.0,COMPLEMENTOS VARIOS,679279.74,679279.74,0.0,619096.93,60182.81,619096.93,619096.93,619096.93,619096.93
1 0100.121.99.133.10 2022,,20.0,COMPLEMENTOS VARIOS,484107.97,484107.97,0.0,283014.4,201093.57,283014.4,283014.4,283014.4,283014.4
1 0100.160.01.130.00 2022,,5.0,SEGURIDAD SOCIAL,150270.71,150270.71,0.0,251270.9,-101000.19,251270.9,251270.9,251270.9,251270.9
1 0100.160.01.132.00 2022,,15.0,SEGURIDAD SOCIAL,355817.13,355817.13,0.0,274596.26,81220.87,274596.26,274596.26,274596.26,274596.26
1 0100.160.01.133.10 2022,,21.0,SEGURIDAD SOCIAL,260622.19,260622.19,0.0,130528.56,130093.63,130528.56,130528.56,130528.56,130528.56
1 0100.160.04.130.00 2022,,6.0,CUOTAS ELKARKIDETZA,11512.82,11512.82,0.0,11687.3,-174.48,11687.3,11687.3,11687.3,11687.3
1 0100.160.04.132.00 2022,,16.0,CUOTAS ELKARKIDETZA,12613.12,12613.12,0.0,10275.24,2337.88,10275.24,10275.24,10275.24,10275.24
1 0100.160.04.133.10 2022,,22.0,CUOTAS ELKARKIDETZA,9035.36,9035.36,0.0,7659.24,1376.12,7659.24,7659.24,7659.24,7659.24
1 0100.202.01.133.10 2022,,2069.0,ALQUILER EQUIPOS DE RADAR,60000.0,60000.0,0.0,65340.0,-5340.0,65340.0,5445.0,5445.0,0.0
1 0100.212.01.132.00 2022,,17.0,MAQUIN/INSTAL/UTILL.MANTTO.ALARMAS,18000.0,9997.35,0.0,3792.94,6204.41,3792.94,3553.43,3553.43,3541.33
1 0100.213.01.130.00 2022,,7.0,MATERIAL DE TRANSPORTE,15000.0,15000.0,0.0,10793.62,4206.38,10793.62,6612.11,6612.11,5990.21
1 0100.213.02.132.00 2022,,1542.0,RENTING VEHICULOS,31000.0,31000.0,0.0,30547.44,452.56,30547.44,28001.82,28001.82,25456.2
1 0100.213.02.132.00 2021,,2102.0,RENTING VEHICULOS,0.0,1697.08,0.0,0.0,1697.08,0.0,0.0,0.0,0.0
1 0100.221.01.130.00 2022,,2067.0,ENERGIA ELECTRICA.CONSUMO DE COCHES,6000.0,6000.0,0.0,504.18,5495.82,504.18,504.18,504.18,504.18
1 0100.221.04.130.00 2022,,8.0,COMBUSTIBLES Y CARBURANTES,30000.0,30000.0,0.0,19477.72,10522.28,19477.72,8897.49,8356.96,7067.82
1 0100.221.05.130.00 2022,,9.0,VESTUARIO,40000.0,40000.0,0.0,39798.19,201.81,39798.19,5610.74,5610.74,2812.55
1 0100.221.99.130.00 2022,,10.0,OTROS SUMINISTROS,12000.0,12000.0,0.0,12761.13,-761.13,12761.13,7843.37,7843.37,4300.38
