#Partida,,,,Ppto. Inicial,Ppto. Definitivo,Retenciones,Autorizado,Disponible,Dispuesto,Obligación,ME,Pago
1 0100.120.01.130.00 2023,,3.0,RETRIBUCIONES BASICAS,143212.84,143212.84,0.0,343384.21,-200171.37,343384.21,343384.21,343384.21,342204.27
1 0100.120.01.132.00 2023,,13.0,RETRIBUCIONES BASICAS,318469.62,318469.62,0.0,221871.84,96597.78,221871.84,221871.84,221871.84,221163.57
1 0100.120.01.133.10 2023,,19.0,RETRIBUCIONES BASICAS,228039.74,228039.74,0.0,122211.16,105828.58,122211.16,122211.16,122211.16,121814.11
1 0100.121.99.130.00 2023,,4.0,COMPLEMENTOS VARIOS,272620.46,272620.46,0.0,663911.69,-391291.23,663911.69,663911.69,663911.69,659490.7
1 0100.121.99.132.00 2023,,14.0,COMPLEMENTOS VARIOS,679735.52,679735.52,0.0,472568.02,207167.5,472568.02,472568.02,472568.02,470970.77
1 0100.121.99.133.10 2023,,20.0,COMPLEMENTOS VARIOS,441237.78,441237.78,0.0,244204.91,197032.87,244204.91,244204.91,244204.91,243294.09
1 0100.160.01.130.00 2023,,5.0,SEGURIDAD SOCIAL,141371.55,141371.55,0.0,357292.58,-215921.03,357292.58,357292.58,357292.58,355960.44
1 0100.160.01.132.00 2023,,15.0,SEGURIDAD SOCIAL,372901.72,372901.72,0.0,240466.26,132435.46,240466.26,240466.26,240466.26,239754.66
1 0100.160.01.133.10 2023,,21.0,SEGURIDAD SOCIAL,257931.19,257931.19,0.0,128344.2,129586.99,128344.2,128344.2,128344.2,127928.22
1 0100.160.04.130.00 2023,,6.0,CUOTAS ELKARKIDETZA,10816.11,10816.11,0.0,16248.94,-5432.83,16248.94,16248.94,16248.94,16248.94
1 0100.160.04.132.00 2023,,16.0,CUOTAS ELKARKIDETZA,11526.15,11526.15,0.0,9785.0,1741.15,9785.0,9785.0,9785.0,9785.0
1 0100.160.04.133.10 2023,,22.0,CUOTAS ELKARKIDETZA,8851.58,8851.58,0.0,7514.2,1337.38,7514.2,7514.2,7514.2,7514.2
1 0100.202.01.133.10 2023,,2069.0,ALQUILER EQUIPOS DE RADAR,72539.5,72539.5,0.0,72539.5,0.0,72539.5,10890.0,10890.0,5445.0
1 0100.202.01.133.10 2022,,2449.0,ALQUILER EQUIPOS DE RADAR,0.0,59895.0,0.0,-5445.0,65340.0,-5445.0,54450.0,54450.0,54450.0
