#Partida,,,,Ppto. Inicial,Ppto. Definitivo,Retenciones,Autorizado,Disponible,Dispuesto,Obligación,ME,Pago
1 0100.100.01.111.00 2014,,5,RETRIBUCIONES BASICAS Y OTRAS REMUNERAC.,496765.0,496765.0,,496764.66,0.34,496764.66,496764.66,496764.66,496764.66
1 0100.110.01.111.00 2014,,7,RETRIB.BASIC.Y OTRAS REMUN.(PERS.EVENT.),46555.74,46555.74,,46555.78,-0.04,46555.78,46555.78,46555.78,46555.78
1 0100.120.01.121.10 2014,,11,RETRIBUCIONES BASICAS,154600.69,154600.69,,117199.95,37400.74,117199.95,117199.95,117199.95,117199.95
1 0100.120.01.121.20 2014,,2824,RETRIBUCIONES BASICAS,9140.96,9140.96,,9129.36,11.6,9129.36,9129.36,9129.36,9129.36
1 0100.120.01.121.30 2014,,26,RETRIBUCIONES BASICAS,79266.53,79266.53,,79006.69,259.84,79006.69,79006.69,79006.69,79006.69
1 0100.120.01.121.40 2014,,32,RETRIBUCIONES BASICAS,78644.93,78644.93,,54083.22,24561.71,54083.22,54083.22,54083.22,54083.22
1 0100.120.01.121.50 2014,,46,RETRIBUCIONES BASICAS,62157.06,62157.06,,61639.04,518.02,61639.04,61639.04,61639.04,61639.04
1 0100.121.05.121.10 2014,,3568,OTRAS REMUNERAC. FUNCIONARIOS,,6178.28,,6178.28,,6178.28,6178.28,6178.28,6178.28
1 0100.121.05.121.20 2014,,3569,OTRAS REMUNERAC. FUNCIONARIOS,,485.96,,485.96,,485.96,485.96,485.96,485.96
1 0100.121.05.121.30 2014,,3570,OTRAS REMUNERAC. FUNCIONARIOS,,3599.68,,3599.68,,3599.68,3599.68,3599.68,3599.68
1 0100.121.05.121.40 2014,,3571,OTRAS REMUNERAC. FUNCIONARIOS,,2923.3,,2923.3,,2923.3,2923.3,2923.3,2923.3
1 0100.121.05.121.50 2014,,3572,OTRAS REMUNERAC. FUNCIONARIOS,,3532.84,,3532.84,,3532.84,3532.84,3532.84,3532.84
1 0100.121.99.121.10 2014,,12,COMPLEMENTOS VARIOS,251343.99,251343.99,,261144.78,-9800.79,261144.78,261144.78,261144.78,261144.78
1 0100.121.99.121.20 2014,,2825,COMPLEMENTOS VARIOS,19798.72,19798.72,,19810.38,-11.66,19810.38,19810.38,19810.38,19810.38
1 0100.121.99.121.30 2014,,27,COMPLEMENTOS VARIOS,165037.53,165037.53,,166823.17,-1785.64,166823.17,166823.17,166823.17,166823.17
1 0100.121.99.121.40 2014,,33,COMPLEMENTOS VARIOS,142235.57,142235.57,,108794.47,33441.1,108794.47,108794.47,108794.47,108794.47
1 0100.121.99.121.50 2014,,47,COMPLEMENTOS VARIOS,146240.6,146240.6,,147039.09,-798.49,147039.09,147039.09,147039.09,147039.09
1 0100.130.02.121.10 2014,,3591,OTRAS REMUNERAC. LABORALES,,454.28,,454.28,,454.28,454.28,454.28,454.28
1 0100.130.02.121.40 2014,,3592,OTRAS REMUNERAC. LABORALES,,571.91,,571.91,,571.91,571.91,571.91,571.91
1 0100.130.03.121.10 2014,,13,REMUNER.PERSONAL LABORAL FIJO,26413.02,26413.02,,27745.34,-1332.32,27745.34,27745.34,27745.34,27745.34
1 0100.130.03.121.40 2014,,2338,REMUNER.PERSONAL LABORAL FIJO,33482.68,33482.68,,42949.29,-9466.61,42949.29,42949.29,42949.29,42949.29
1 0100.131.01.121.10 2014,,14,LABORAL EVENTUAL,28897.12,28897.12,,32038.49,-3141.37,32038.49,32038.49,32038.49,32038.49
1 0100.131.01.121.30 2014,,3085,LABORAL EVENTUAL,16906.41,16906.41,,17567.65,-661.24,17567.65,17567.65,17567.65,17567.65
1 0100.131.02.121.10 2014,,3601,OTRAS REMUNERAC. EVENTUAL,,413.72,,413.72,,413.72,413.72,413.72,413.72
1 0100.131.02.121.30 2014,,3602,OTRAS REMUNERAC. EVENTUAL,,283.89,,283.89,,283.89,283.89,283.89,283.89
1 0100.160.01.111.00 2014,,8,SEGURIDAD SOCIAL,147497.64,147497.64,,153155.64,-5658.0,153155.64,153155.64,153155.64,153155.64
1 0100.160.01.121.10 2014,,15,SEGURIDAD SOCIAL,114206.61,114206.61,,125131.46,-10924.85,125131.46,125131.46,125131.46,125131.46
1 0100.160.01.121.20 2014,,23,SEGURIDAD SOCIAL,8905.65,8905.65,,9176.04,-270.39,9176.04,9176.04,9176.04,9176.04
1 0100.160.01.121.30 2014,,28,SEGURIDAD SOCIAL,71202.1,71202.1,,74295.26,-3093.16,74295.26,74295.26,74295.26,74295.26
1 0100.160.01.121.40 2014,,35,SEGURIDAD SOCIAL,67074.35,67074.35,,56261.65,10812.7,56261.65,56261.65,56261.65,56261.65
1 0100.160.01.121.50 2014,,48,SEGURIDAD SOCIAL,59138.78,59138.78,,53058.93,6079.85,53058.93,53058.93,53058.93,53058.93
1 0100.160.04.121.10 2014,,16,CUOTAS ELKARKIDETZA,11998.7,11998.7,,11998.7,,11998.7,11998.7,11998.7,11998.7
1 0100.160.04.121.20 2014,,24,CUOTAS ELKARKIDETZA,949.48,949.48,,949.48,,949.48,949.48,949.48,949.48
1 0100.160.04.121.30 2014,,29,CUOTAS ELKARKIDETZA,7081.48,7081.48,,6945.84,135.64,6945.84,6945.84,6945.84,6945.84
