#Partida,,,,Ppto. Inicial,Ppto. Definitivo,Retenciones,Autorizado,Disponible,Dispuesto,Obligación,ME,Pago
1 0100.120.01.130.00 2016,,3,RETRIBUCIONES BASICAS,130626.63,130626.63,,117738.2,12888.43,117738.2,117738.2,117738.2,117738.2
1 0100.120.01.132.00 2016,,13,RETRIBUCIONES BASICAS,273496.05,273496.05,,257676.84,15819.21,257676.84,257676.84,257676.84,257676.84
1 0100.120.01.133.10 2016,,19,RETRIBUCIONES BASICAS,192292.14,192292.14,,154934.66,37357.48,154934.66,154934.66,154934.66,154934.66
1 0100.121.05.130.00 2016,,591,OTRAS REMUNERACIONES,1.0,10271.56,,10270.56,1.0,10270.56,10270.56,10270.56,10270.56
1 0100.121.05.132.00 2016,,592,OTRAS REMUNERACIONES,1.0,20660.93,,20659.93,1.0,20659.93,20659.93,20659.93,20659.93
1 0100.121.05.133.10 2016,,593,OTRAS REMUNERACIONES,1.0,13638.31,,13637.31,1.0,13637.31,13637.31,13637.31,13637.31
1 0100.121.99.130.00 2016,,4,COMPLEMENTOS VARIOS,242690.06,242690.06,,286798.73,-44108.67,286798.73,286798.73,286798.73,286798.73
1 0100.121.99.132.00 2016,,14,COMPLEMENTOS VARIOS,542326.64,542326.64,,595149.68,-52823.04,595149.68,595149.68,595149.68,595149.68
1 0100.121.99.133.10 2016,,20,COMPLEMENTOS VARIOS,367022.66,367022.66,,340549.85,26472.81,340549.85,340549.85,340549.85,340549.85
1 0100.160.01.130.00 2016,,5,SEGURIDAD SOCIAL,115295.81,115295.81,,106613.19,8682.62,106613.19,106613.19,106613.19,106613.19
1 0100.160.01.132.00 2016,,15,SEGURIDAD SOCIAL,266410.73,266410.73,,231794.89,34615.84,231794.89,231794.89,231794.89,231794.89
1 0100.160.01.133.10 2016,,21,SEGURIDAD SOCIAL,182827.86,182827.86,,132889.26,49938.6,132889.26,132889.26,132889.26,132889.26
1 0100.160.04.130.00 2016,,6,CUOTAS ELKARKIDETZA,9087.68,9087.68,,10244.89,-1157.21,10244.89,10244.89,10244.89,10244.89
1 0100.160.04.132.00 2016,,16,CUOTAS ELKARKIDETZA,17607.38,17607.38,,17444.96,162.42,17444.96,17444.96,17444.96,17444.96
1 0100.160.04.133.10 2016,,22,CUOTAS ELKARKIDETZA,11927.58,11927.58,,11197.46,730.12,11197.46,11197.46,11197.46,11197.46
1 0100.212.01.132.00 2016,,17,MAQUIN/INSTAL/UTILL.MANTTO.ALARMAS,8000.0,8000.0,,7470.95,529.05,7470.95,7470.95,7470.95,7470.95
1 0100.213.01.130.00 2016,,7,MATERIAL DE TRANSPORTE,13000.0,13000.0,,13330.89,-330.89,13330.89,12755.88,12755.88,12755.88
1 0100.213.01.130.00 2015,,670,MATERIAL DE TRANSPORTE,,1097.03,,997.03,100.0,997.03,997.03,997.03,997.03
1 0100.221.04.130.00 2016,,8,COMBUSTIBLES Y CARBURANTES,11000.0,11000.0,,7332.9,3667.1,7332.9,7332.9,7332.9,7332.9
1 0100.221.05.130.00 2016,,9,VESTUARIO,26600.0,26600.0,,26357.89,242.11,26357.89,24092.77,24092.77,24092.77
1 0100.221.05.130.00 2015,,671,VESTUARIO,,15620.28,,15620.28,,15620.28,15620.28,15620.28,15620.28
1 0100.221.99.130.00 2016,,10,OTROS SUMINISTROS,9270.0,9270.0,,5262.68,4007.32,5262.68,5262.68,5262.68,5262.68
1 0100.221.99.130.00 2015,,672,OTROS SUMINISTROS,,881.04,,881.04,,881.04,881.04,881.04,881.04
1 0100.224.02.130.00 2016,,11,DE VEHICULOS. SEGUROS,2700.0,2700.0,,1490.43,1209.57,1490.43,1490.43,1490.43,1490.43
1 0100.226.99.132.00 2016,,586,OTROS GASTOS DIVERSOS SEGURIDAD,3000.0,3000.0,,840.3,2159.7,840.3,840.3,840.3,840.3
1 0100.226.99.133.10 2016,,23,OTROS GASTOS DIVERSOS. EDUCACION VIAL,1800.0,1800.0,,,1800.0,,,,
1 0100.227.08.441.10 2016,,363,CONTRATOS TRANSPORTE,199262.0,199262.0,,193406.19,5855.81,193406.19,193406.19,193406.19,193406.19
1 0100.227.99.133.10 2016,,24,OTROS TRABAJOS EXTERIORES. GRUA,90000.0,90000.0,,66726.21,23273.79,66726.21,66726.21,66726.21,66726.21
