#Partida,,,,Ppto. Inicial,Ppto. Definitivo,Retenciones,Autorizado,Disponible,Dispuesto,Obligación,ME,Pago
1 0100.120.01.130.00 2017,,3.0,RETRIBUCIONES BASICAS,133172.85,133172.85,0.0,108730.99,24441.86,108730.99,108730.99,108730.99,107903.06
1 0100.120.01.132.00 2017,,13.0,RETRIBUCIONES BASICAS,273276.41,273276.41,0.0,263439.87,9836.54,263439.87,263439.87,263439.87,261576.09
1 0100.120.01.133.10 2017,,19.0,RETRIBUCIONES BASICAS,194015.33,194015.33,0.0,168358.32,25657.01,168358.32,168358.32,168358.32,167150.43
1 0100.121.99.130.00 2017,,4.0,COMPLEMENTOS VARIOS,266174.91,266174.91,0.0,260977.61,5197.3,260977.61,260977.61,260977.61,258752.74
1 0100.121.99.132.00 2017,,14.0,COMPLEMENTOS VARIOS,533368.18,533368.18,0.0,613383.2,-80015.02,613383.2,613383.2,613383.2,609009.23
1 0100.121.99.133.10 2017,,20.0,COMPLEMENTOS VARIOS,359257.97,359257.97,0.0,374616.69,-15358.72,374616.69,374616.69,374616.69,371905.66
1 0100.160.01.130.00 2017,,5.0,SEGURIDAD SOCIAL,112226.74,112226.74,0.0,94801.56,17425.18,94801.56,94801.56,94801.56,94364.63
1 0100.160.01.132.00 2017,,15.0,SEGURIDAD SOCIAL,236087.02,236087.02,0.0,252775.14,-16688.12,252775.14,252775.14,252775.14,251282.64
1 0100.160.01.133.10 2017,,21.0,SEGURIDAD SOCIAL,168376.46,168376.46,0.0,156606.8,11769.66,156606.8,156606.8,156606.8,155396.04
1 0100.160.04.130.00 2017,,6.0,CUOTAS ELKARKIDETZA,11439.11,11439.11,0.0,19480.52,-8041.41,19480.52,19480.52,19480.52,19480.52
1 0100.160.04.132.00 2017,,16.0,CUOTAS ELKARKIDETZA,15557.23,15557.23,0.0,44887.24,-29330.01,44887.24,44887.24,44887.24,44887.24
1 0100.160.04.133.10 2017,,22.0,CUOTAS ELKARKIDETZA,13690.38,13690.38,0.0,28831.92,-15141.54,28831.92,28831.92,28831.92,28831.92
1 0100.212.01.132.00 2017,,17.0,MAQUIN/INSTAL/UTILL.MANTTO.ALARMAS,8000.0,8000.0,0.0,3197.03,4802.97,3197.03,3060.74,3060.74,3060.74
1 0100.213.01.130.00 2017,,7.0,MATERIAL DE TRANSPORTE,13000.0,17000.0,0.0,15131.72,1868.28,15131.72,10162.48,10162.48,9628.37
1 0100.213.01.130.00 2016,,846.0,MATERIAL DE TRANSPORTE,0.0,575.01,0.0,200.0,375.01,200.0,200.0,200.0,200.0
1 0100.221.04.130.00 2017,,8.0,COMBUSTIBLES Y CARBURANTES,10395.0,9982.07,0.0,7421.96,2560.11,7421.96,7421.96,7421.96,6863.92
1 0100.221.05.130.00 2017,,9.0,VESTUARIO,26600.0,26600.0,0.0,23303.06,3296.94,23303.06,23303.06,23303.06,2342.58
1 0100.221.05.130.00 2016,,847.0,VESTUARIO,0.0,2265.12,0.0,2265.12,0.0,2265.12,2265.12,2265.12,2265.12
1 0100.221.99.130.00 2017,,10.0,OTROS SUMINISTROS,8760.0,8760.0,0.0,7798.76,961.24,7798.76,6496.85,6496.85,6496.85
1 0100.224.02.130.00 2017,,11.0,DE VEHICULOS. SEGUROS,2500.0,2500.0,0.0,2298.21,201.79,2298.21,2298.21,2298.21,2298.21
1 0100.226.99.132.00 2017,,586.0,OTROS GASTOS DIVERSOS SEGURIDAD,1500.0,1500.0,0.0,384.94,1115.06,384.94,384.94,384.94,384.94
1 0100.227.08.441.10 2017,,363.0,CONTRATOS TRANSPORTE,199262.0,199262.0,0.0,193900.12,5361.88,193900.12,193900.12,193900.12,147624.71
1 0100.227.99.133.10 2017,,24.0,OTROS TRABAJOS EXTERIORES. GRUA,100000.0,130000.0,0.0,110897.77,19102.23,110897.77,110897.77,110897.77,105551.78
1 0100.230.01.130.00 2017,,12.0,DIETAS/LOCOMOC/TRASLADO PERSONAL,100.0,100.0,0.0,507.9,-407.9,507.9,507.9,507.9,507.9
1 0100.230.01.132.00 2017,,18.0,DIETAS/LOCOMOC/TRASLADO PERSONAL,100.0,100.0,0.0,458.24,-358.24,458.24,458.24,458.24,458.24
1 0100.230.01.133.10 2017,,25.0,DIETAS/LOCOMOC/TRASLADO PERSONAL,100.0,100.0,0.0,391.67,-291.67,391.67,391.67,391.67,391.67
1 0100.421.03.441.10 2017,,364.0,CONSORC.AUTORID.TERRITOR.TTE GIPUZKOA,5000.0,5000.0,0.0,4455.0,545.0,4455.0,4455.0,4455.0,4455.0
1 0100.624.01.130.00 2016,,848.0,MATERIAL DE TRANSPORTE,0.0,20900.0,0.0,20900.0,0.0,20900.0,20900.0,20900.0,20900.0
1 0100.626.01.130.00 2017,,43.0,OTR.EQUIPOS. SISTEMA COMUNIC.TEATRA,6000.0,6412.93,0.0,6412.02,0.91,6412.02,6412.02,6412.02,6412.02
1 0100.626.01.130.00 2016,,849.0,OTR.EQUIPOS. SISTEMA COMUNIC.TEATRA,0.0,23700.94,0.0,23700.94,0.0,23700.94,23700.94,23700.94,23700.94
1 0200.120.01.151.00 2017,,32.0,RETRIBUCIONES BASICAS,112552.74,112552.74,0.0,109161.86,3390.88,109161.86,109161.86,109161.86,108284.93
1 0200.120.01.172.00 2017,,782.0,RETRIBUCIONES BASICAS,15924.6,15924.6,0.0,17030.52,-1105.92,17030.52,17030.52,17030.52,16888.27
1 0200.121.99.151.00 2017,,33.0,COMPLEMENTOS VARIOS,193705.14,193705.14,0.0,233345.84,-39640.7,233345.84,233345.84,233345.84,231458.01
1 0200.121.99.172.00 2017,,783.0,COMPLEMENTOS VARIOS,20678.88,20678.88,0.0,29388.57,-8709.69,29388.57,29388.57,29388.57,29140.49
