#Partida,,,,Ppto. Inicial,Ppto. Definitivo,Retenciones,Autorizado,Disponible,Dispuesto,Obligación,ME,Pago
1 0100.100.01.111.00 2013,,5,RETRIBUCIONES BASICAS Y OTRAS REMUNERAC.,496764.52,496764.52,,496686.58,77.94,496686.58,496686.58,496686.58,496686.58
1 0100.110.01.111.00 2013,,7,RETRIB.BASIC.Y OTRAS REMUN.(PERS.EVENT.),46555.74,46555.74,,46429.63,126.11,46429.63,46429.63,46429.63,46429.63
1 0100.120.01.121.10 2013,,11,RETRIBUCIONES BASICAS,114449.17,114449.17,,111980.7,2468.47,111980.7,111980.7,111980.7,111980.7
1 0100.120.01.121.20 2013,,2824,RETRIBUCIONES BASICAS,8926.5,8926.5,,8879.1,47.4,8879.1,8879.1,8879.1,8879.1
1 0100.120.01.121.30 2013,,26,RETRIBUCIONES BASICAS,79388.62,79388.62,,78152.3,1236.32,78152.3,78152.3,78152.3,78152.3
1 0100.120.01.121.40 2013,,32,RETRIBUCIONES BASICAS,62225.67,62225.67,,58559.05,3666.62,58559.05,58559.05,58559.05,58559.05
1 0100.120.01.121.50 2013,,46,RETRIBUCIONES BASICAS,61757.58,61757.58,,60739.02,1018.56,60739.02,60739.02,60739.02,60739.02
1 0100.121.99.121.10 2013,,12,COMPLEMENTOS VARIOS,252849.87,252849.87,,253344.03,-494.16,253344.03,253344.03,253344.03,253344.03
1 0100.121.99.121.20 2013,,2825,COMPLEMENTOS VARIOS,19594.62,19594.62,,19583.41,11.21,19583.41,19583.41,19583.41,19583.41
1 0100.121.99.121.30 2013,,27,COMPLEMENTOS VARIOS,169106.73,169106.73,,166478.4,2628.33,166478.4,166478.4,166478.4,166478.4
1 0100.121.99.121.40 2013,,33,COMPLEMENTOS VARIOS,117869.74,117869.74,,118577.69,-707.95,118577.69,118577.69,118577.69,118577.69
1 0100.121.99.121.50 2013,,47,COMPLEMENTOS VARIOS,145944.08,145944.08,,148655.16,-2711.08,148655.16,148655.16,148655.16,148655.16
1 0100.130.03.121.10 2013,,13,REMUNER.PERSONAL LABORAL FIJO,26012.32,26012.32,,25988.47,23.85,25988.47,25988.47,25988.47,25988.47
1 0100.130.03.121.40 2013,,2338,REMUNER.PERSONAL LABORAL FIJO,33700.18,33700.18,,33670.76,29.42,33670.76,33670.76,33670.76,33670.76
1 0100.131.01.121.10 2013,,14,LABORAL EVENTUAL,28098.98,28098.98,,32540.24,-4441.26,32540.24,32540.24,32540.24,32540.24
1 0100.131.01.121.30 2013,,3085,LABORAL EVENTUAL,16674.22,16674.22,,16665.34,8.88,16665.34,16665.34,16665.34,16665.34
1 0100.141.01.121.40 2013,,3285,OTRO PERSONAL,,,,7712.23,-7712.23,7712.23,7712.23,7712.23,7712.23
1 0100.160.01.111.00 2013,,8,SEGURIDAD SOCIAL,137901.23,137901.23,,143272.74,-5371.51,143272.74,143272.74,143272.74,143272.74
1 0100.160.01.121.10 2013,,15,SEGURIDAD SOCIAL,111374.67,111374.67,,110273.23,1101.44,110273.23,110273.23,110273.23,110273.23
1 0100.160.01.121.20 2013,,23,SEGURIDAD SOCIAL,8836.74,8836.74,,8734.44,102.3,8734.44,8734.44,8734.44,8734.44
1 0100.160.01.121.30 2013,,28,SEGURIDAD SOCIAL,74182.48,74182.48,,72003.53,2178.95,72003.53,72003.53,72003.53,72003.53
1 0100.160.01.121.40 2013,,35,SEGURIDAD SOCIAL,55261.66,55261.66,,52397.62,2864.04,52397.62,52397.62,52397.62,52397.62
1 0100.160.01.121.50 2013,,48,SEGURIDAD SOCIAL,55504.58,55504.58,,40458.21,15046.37,40458.21,40458.21,40458.21,40458.21
1 0100.160.04.121.10 2013,,16,CUOTAS ELKARKIDETZA,11938.64,11938.64,,1199.52,10739.12,1199.52,1199.52,1199.52,1199.52
1 0100.160.04.121.20 2013,,24,CUOTAS ELKARKIDETZA,944.72,944.72,,94.92,849.8,94.92,94.92,94.92,94.92
1 0100.160.04.121.30 2013,,29,CUOTAS ELKARKIDETZA,7138.54,7138.54,,667.3,6471.24,667.3,667.3,667.3,667.3
1 0100.160.04.121.40 2013,,36,CUOTAS ELKARKIDETZA,6270.32,6270.32,,1176.61,5093.71,1176.61,1176.61,1176.61,1176.61
1 0100.160.04.121.50 2013,,49,CUOTAS ELKARKIDETZA,5651.1,5651.1,,624.54,5026.56,624.54,624.54,624.54,624.54
1 0100.160.06.121.10 2013,,17,S.A.S.F.A.L.,8601.6,8601.6,,8833.44,-231.84,8833.44,8833.44,8833.44,8833.44
1 0100.160.06.121.30 2013,,30,S.A.S.F.A.L.,4403.2,4403.2,,4521.88,-118.68,4521.88,4521.88,4521.88,4521.88
1 0100.160.06.121.40 2013,,37,S.A.S.F.A.L.,2457.6,2457.6,,2523.84,-66.24,2523.84,2523.84,2523.84,2523.84
1 0100.160.06.121.50 2013,,50,S.A.S.F.A.L.,3686.4,3686.4,,3785.76,-99.36,3785.76,3785.76,3785.76,3785.76
1 0100.161.03.314.00 2013,,140,INDEMNIZAC.POR JUBILACIONES ANTICIPADAS,61161.0,61161.0,,46261.8,14899.2,46261.8,46261.8,46261.8,46261.8
